SITE_ID,Week,Year,DATEOFF,Ca,Cl,HNO3,HNO3 PPB,K,Mg,Na,NH4,NO3,SO2,SO2 PPB,SO4,TNO3,DATEON
BFT142,19,2024,5/14/24 8:00,0.134,0.908,0.261,0.101,0.082,0.118,0.883,0.262,0.738,0.745,0.284,1.187,0.995,5/7/24
BFT142,20,2020,5/19/20 8:00,0.131,1.56,0.327,0.127,0.065,0.131,1.03,0.163,0.472,0.244,0.093,0.984,0.794,5/12/20
BFT142,20,2021,5/18/21 8:00,0.141,0.476,0.599,0.232,0.049,0.078,0.518,0.181,0.673,0.388,0.148,0.725,1.263,5/11/21
BFT142,20,2022,5/24/22 8:00,0.28,1.57,0.353,0.137,0.113,0.193,1.421,0.361,1.469,0.341,0.13,1.72,1.816,5/17/22
BFT142,20,2023,5/23/23 8:00,0.168,1.98,0.135,0.052,0.105,0.184,1.388,0.268,0.926,0.37,0.141,1.206,1.058,5/16/23
BFT142,20,2024,5/21/24 8:00,0.049,0.813,0.144,0.056,0.055,0.084,0.673,0.227,0.599,0.324,0.124,0.763,0.74,5/14/24
BFT142,21,2020,5/26/20 8:00,0.083,2.486,0.109,0.042,0.09,0.195,1.591,0.153,0.532,0.196,0.075,1.015,0.639,5/19/20
BFT142,21,2021,5/25/21 8:00,0.268,2.131,0.406,0.158,0.099,0.207,1.52,0.352,1.055,0.563,0.215,1.307,1.454,5/18/21
BFT142,21,2022,5/31/22 8:00,0.107,0.587,0.286,0.111,0.066,0.108,0.805,0.182,0.726,0.304,0.116,1.284,1.007,5/24/22
BFT142,21,2023,5/30/23 8:00,0.134,4.19,0.063,0.024,0.144,0.312,2.471,0.152,0.768,0.2,0.076,1.213,0.83,5/23/23
BFT142,21,2024,5/28/24 8:00,0.083,0.463,0.226,0.088,0.067,0.073,0.56,0.393,0.732,0.419,0.16,1.138,0.954,5/21/24
BFT142,22,2020,6/2/20 8:00,0.097,2.097,0.156,0.061,0.095,0.163,1.329,0.221,0.511,0.292,0.111,1.137,0.665,5/26/20
BFT142,22,2021,6/1/21 8:00,0.276,1.638,0.356,0.138,0.116,0.213,1.654,0.407,1.621,0.496,0.189,1.943,1.971,5/25/21
BFT142,22,2022,6/7/22 8:00,0.315,1.053,0.522,0.203,0.087,0.157,1.11,0.331,1.301,0.656,0.25,1.432,1.815,5/31/22
BFT142,22,2023,6/6/23 8:00,0.093,1.842,0.137,0.053,0.098,0.165,1.293,0.185,0.752,0.217,0.083,1.013,0.887,5/30/23
BFT142,22,2024,6/4/24 8:00,0.149,0.575,0.366,0.142,0.062,0.086,0.644,0.345,0.683,0.529,0.202,1.116,1.043,5/28/24
BFT142,23,2020,6/9/20 8:00,0.163,1.792,0.257,0.1,0.095,0.178,1.382,0.3,0.871,0.379,0.145,1.241,1.125,6/2/20
BFT142,23,2021,6/8/21 8:00,0.088,2.226,0.196,0.076,0.084,0.186,1.532,0.153,0.625,0.348,0.133,1.203,0.817,6/1/21
BFT142,23,2022,6/14/22 8:00,0.206,1.661,0.297,0.115,0.09,0.177,1.371,0.255,1.164,0.333,0.127,1.373,1.457,6/7/22
BFT142,23,2023,6/13/23 8:00,0.193,0.424,0.794,0.308,0.193,0.116,0.785,0.238,0.49,0.438,0.167,1.386,1.271,6/6/23
BFT142,23,2024,6/11/24 8:00,0.184,0.732,0.369,0.143,0.075,0.131,0.888,0.198,0.699,0.381,0.145,1.279,1.063,6/4/24
BFT142,24,2020,6/16/20 8:00,0.112,2.737,0.122,0.047,0.092,0.204,1.647,0.301,0.75,0.312,0.119,1.153,0.87,6/9/20
BFT142,24,2021,6/15/21 8:00,-,-,-,-,-,-,-,-,-,-,-,-,-,6/8/21
BFT142,24,2022,6/21/22 8:00,0.239,0.611,0.45,0.175,0.069,0.091,0.613,0.255,0.693,0.358,0.137,0.859,1.136,6/14/22
BFT142,24,2023,6/20/23 8:00,0.174,0.188,0.524,0.203,0.13,0.09,0.684,0.336,0.743,0.52,0.198,1.345,1.259,6/13/23
